State,Region,Ward,Total Cases,New Cases,Total Deaths,Total Recovered,Total Active
MH,Pune,Aundh - Baner,2362,0,0,0,424
MH,Pune,Kothrud - Bawdhan ,3828,0,0,0,827
MH,Pune,Sinhagad Road ,4090,0,0,0,886
MH,Pune,Warje - Karvenagar ,4081,0,0,0,584
MH,Pune,Shivajinagar - Ghole Road,3042,0,0,0,507
MH,Pune,Kasba - Vishrambaugwada,5470,0,0,0,556
MH,Pune,Dhankawadi - Sahakarnagar ,4856,0,0,0,621
MH,Pune,Bhawani Peth ,3491,0,0,0,471
MH,Pune,Bibwewadi ,4155,0,0,0,542
MH,Pune,Dhole Patil Road ,4521,0,0,0,402
MH,Pune,Yerwada - Kalas - Dhanori ,4003,0,0,0,665
MH,Pune,Nagar Road - Vadgaonsheri,3797,0,0,0,871
MH,Pune,Wanawadi - Ramtekadi ,2931,0,0,0,358
MH,Pune,Kondhwa - Yewalewadi ,2784,0,0,0,416
MH,Pune,Hadapsar - Mundhwa,5738,0,0,0,1127
MH,Pune,Outside of PMC ,5780,0,0,0,692
